category,model_yaml,model_params,failure_reason
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/pspnet/pspnet_resnet50_os8_voc12aug_512x512_40k.yml,https://bj.bcebos.com/paddleseg/dygraph/pascal_voc12/pspnet_resnet50_os8_voc12aug_512x512_40k/model.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/face_detection/blazeface_1000e.yml,https://paddledet.bj.bcebos.com/models/blazeface_1000e.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/face_detection/blazeface_fpn_ssh_1000e.yml,https://paddledet.bj.bcebos.com/models/blazeface_fpn_ssh_1000e.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/mot/deepsort/deepsort_pcb_pyramid_r101.yml,https://paddledet.bj.bcebos.com/models/mot/deepsort_pcb_pyramid_r101.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/pedestrian/pedestrian_yolov3_darknet.yml,https://paddledet.bj.bcebos.com/models/pedestrian_yolov3_darknet.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/static/contrib/PedestrianDetection/pedestrian_yolov3_darknet.yml,https://paddledet.bj.bcebos.com/models/pedestrian_yolov3_darknet.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/ppyolo/ppyolo_mbv3_small_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_mbv3_small_coco.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/ppyolo/ppyolo_r50vd_dcn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_r50vd_dcn_2x_coco.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/ppyolo/ppyolo_r50vd_dcn_voc.yml,https://paddledet.bj.bcebos.com/models/ppyolo_r50vd_dcn_voc.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/ppyolo/ppyolo_mbv3_large_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_mbv3_large_coco.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/ppyolo/ppyolo_r50vd_dcn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_r50vd_dcn_1x_coco.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/ssd/ssd_mobilenet_v1_300_120e_voc.yml,https://paddledet.bj.bcebos.com/models/ssd_mobilenet_v1_300_120e_voc.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/ssd/ssdlite_mobilenet_v3_small_320_coco.yml,https://paddledet.bj.bcebos.com/models/ssdlite_mobilenet_v3_small_320_coco.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/keypoint/hrnet/dark_hrnet_w32_384x288.yml,https://paddledet.bj.bcebos.com/models/keypoint/dark_hrnet_w32_384x288.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/ppyolo/ppyolo_r18vd_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_r18vd_coco.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/ppyolo/ppyolo_tiny_650e_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_tiny_650e_coco.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_darknet53_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_darknet53_270e_coco.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_mobilenet_v1_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v1_270e_coco.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_mobilenet_v1_270e_voc.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v1_270e_voc.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_mobilenet_v3_large_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v3_large_270e_coco.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/vehicle/vehicle_yolov3_darknet.yml,https://paddledet.bj.bcebos.com/models/vehicle_yolov3_darknet.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/static/contrib/VehicleDetection/vehicle_yolov3_darknet.yml,https://paddledet.bj.bcebos.com/models/vehicle_yolov3_darknet.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_mobilenet_v3_large_270e_voc.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v3_large_270e_voc.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_r34_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_r34_270e_coco.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_r50vd_dcn_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_r50vd_dcn_270e_coco.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_mobilenet_v1_ssld_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v1_ssld_270e_coco.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_mobilenet_v1_ssld_270e_voc.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v1_ssld_270e_voc.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_mobilenet_v3_large_ssld_270e_voc.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v3_large_ssld_270e_voc.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/yolov3/yolov3_mobilenet_v1_roadsign.yml,https://paddlemodels.bj.bcebos.com/object_detection/yolov3_mobilenet_v1_roadsign.pdparams,inaccurate
