BiSeNetv2（速度最快）,configs/bisenet/bisenet_cityscapes_1024x1024_160k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/bisenet_cityscapes_1024x1024_160k/model.pdparams,"arg_max,batch_norm,bilinear_interp_v2,concat,conv2d,depthwise_conv2d,dropout,elementwise_add,elementwise_mul,pool2d,relu,scale,shape,sigmoid,slice",None
DeepLabV3+（常用）,configs/deeplabv3p/deeplabv3p_resnet50_os8_cityscapes_1024x512_80k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/deeplabv3p_resnet50_os8_cityscapes_1024x512_80k/model.pdparams,"arg_max,batch_norm,bilinear_interp_v2,concat,conv2d,depthwise_conv2d,dropout,elementwise_add,pad3d,pool2d,relu,scale,shape,slice,squeeze2,unsqueeze2",None
OCRNet（精度最高),configs/ocrnet/ocrnet_hrnetw48_cityscapes_1024x512_160k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/ocrnet_hrnetw48_cityscapes_1024x512_160k/model.pdparams,"arg_max,batch_norm,bilinear_interp_v2,bmm,concat,conv2d,elementwise_add,fill_constant,relu,reshape2,scale,shape,slice,softmax,transpose2,unsqueeze2",None
PPSeg(可直接用于人像分割推理),contrib/HumanSeg/configs/fcn_hrnetw18_small_v1_humanseg_192x192_mini_supervisely.yml,https://paddleseg.bj.bcebos.com/dygraph/humanseg/export/fcn_hrnetw18_small_v1_humanseg_192x192_with_softmax.zip,"batch_norm,bilinear_interp_v2,concat,conv2d,elementwise_add,relu,scale,shape,slice,softmax",None
U-Net（常用）,configs/unet/unet_cityscapes_1024x512_160k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/unet_cityscapes_1024x512_160k/model.pdparams,"arg_max,batch_norm,bilinear_interp_v2,concat,conv2d,elementwise_add,pool2d,relu,scale,shape,slice",None
