PP-Yolo v2,configs/ppyolo/ppyolov2_r50vd_dcn_365e_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolov2_r50vd_dcn_365e_coco.pdparams,"batch_norm,cast,clip,concat,conv2d,deformable_conv,elementwise_add,elementwise_div,elementwise_mul,elementwise_pow,fill_constant,fill_constant_batch_size_like,log,matrix_nms,nearest_interp_v2,pool2d,relu,reshape2,scale,sigmoid,slice,softplus,split,tanh,transpose2,yolo_box",softplus
PP-Yolo v2,configs/ppyolo/ppyolov2_r50vd_dcn_voc.yml,None,ERROR,ERROR
SOLO v2,configs/solov2/solov2_r50_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/solov2_r50_fpn_1x_coco.pdparams,"batch_norm,bilinear_interp_v2,cast,concat,conditional_block,conv2d,elementwise_add,elementwise_div,elementwise_mul,elementwise_pow,elementwise_sub,equal,exp,expand_v2,fill_constant,flatten_contiguous_range,gather,greater_equal,greater_than,group_norm,linspace,logical_not,matmul,meshgrid,nearest_interp_v2,pool2d,reduce_max,reduce_min,reduce_sum,relu,reshape2,scale,select_input,shape,sigmoid,slice,squeeze2,transpose2,tril_triu,unsqueeze2,where,where_index","conditional_block,gather,greater_than,group_norm,linspace,meshgrid,reduce_max,reduce_min,reduce_sum,select_input,tril_triu,where,where_index"
SSD-MobileNetV1,configs/ssd/ssd_mobilenet_v1_300_120e_voc.yml,https://paddledet.bj.bcebos.com/models/ssd_mobilenet_v1_300_120e_voc.pdparams,"batch_norm,concat,conv2d,depthwise_conv2d,elementwise_add,elementwise_div,elementwise_mul,elementwise_sub,exp,multiclass_nms3,prior_box,relu,relu6,reshape2,scale,slice,softmax,stack,transpose2,unsqueeze2",None
SSD-MobileNetV3,configs/ssd/ssdlite_mobilenet_v3_small_320_coco.yml,https://paddledet.bj.bcebos.com/models/ssdlite_mobilenet_v3_small_320_coco.pdparams,"batch_norm,concat,conv2d,depthwise_conv2d,elementwise_add,elementwise_div,elementwise_mul,elementwise_sub,exp,hard_sigmoid,hard_swish,multiclass_nms3,pool2d,prior_box,relu,relu6,reshape2,scale,slice,softmax,stack,transpose2,unsqueeze2",None
YoloV3-DarkNet53,configs/yolov3/yolov3_darknet53_270e_voc.yml,None,ERROR,ERROR
YoloV3-DarkNet53 (phase1),configs/yolov3/yolov3_darknet53_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_darknet53_270e_coco.pdparams,"batch_norm,cast,concat,conv2d,elementwise_add,elementwise_div,leaky_relu,multiclass_nms3,nearest_interp_v2,scale,transpose2,yolo_box",None
YoloV3-ResNet50_vd,configs/yolov3/yolov3_r50vd_dcn_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_r50vd_dcn_270e_coco.pdparams,"batch_norm,cast,concat,conv2d,deformable_conv,elementwise_add,elementwise_div,leaky_relu,multiclass_nms3,nearest_interp_v2,pool2d,relu,scale,sigmoid,split,transpose2,yolo_box",None
YoloV4,static/configs/yolov4/yolov4_cspdarknet_coco.yml,None,ERROR,ERROR
YoloV4,static/configs/yolov4/yolov4_cspdarknet_voc.yml,https://paddlemodels.bj.bcebos.com/object_detection/yolov4_cspdarknet_voc.pdparams,"batch_norm,clip,concat,conv2d,elementwise_add,elementwise_mul,exp,leaky_relu,log,multiclass_nms,nearest_interp,pool2d,scale,tanh,transpose2,yolo_box",multiclass_nms
