pdconfig_url,pdparams_url
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/dcn/faster_rcnn_dcn_r101_vd_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_dcn_r101_vd_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_r50_2x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_r50_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/solov2/solov2_r50_fpn_3x_coco.yml,https://paddledet.bj.bcebos.com/models/solov2_r50_fpn_3x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/hrnet/faster_rcnn_hrnetv2p_w18_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_hrnetv2p_w18_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/anchor_free/fcos_r50_fpn_multiscale_2x.yml,https://paddlemodels.bj.bcebos.com/object_detection/fcos_r50_fpn_multiscale_2x.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/develop/static/configs/yolov4/yolov4_csdarknet.yml,https://paddlemodels.bj.bcebos.com/object_detection/yolov4_cspdarknet.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/faster_rcnn/faster_rcnn_r50_vd_ssld_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_r50_vd_ssld_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ttfnet/pafnet_10x_coco.yml,https://paddledet.bj.bcebos.com/models/pafnet_10x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/rcnn_enhance/faster_rcnn_enhance_3x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_enhance_3x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_r50_vd_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_r50_vd_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/develop/static/configs/ppyolo/ppyolo_tiny.yml,https://paddlemodels.bj.bcebos.com/object_detection/ppyolo_tiny.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/anchor_free/ttfnet_darknet.yml,https://paddlemodels.bj.bcebos.com/object_detection/ttfnet_darknet.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/dcn/mask_rcnn_dcn_r50_vd_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_dcn_r50_vd_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/yolov3/yolov3_mobilenet_v3_large_ssld_270e_voc.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v3_large_ssld_270e_voc.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/ssd/ssdlite_mobilenet_v1.yml,https://paddlemodels.bj.bcebos.com/object_detection/ssdlite_mobilenet_v1.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/vehicle/vehicle_yolov3_darknet.yml,https://paddledet.bj.bcebos.com/models/vehicle_yolov3_darknet.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/solov2/solov2_r50_fpn_3x.yml,https://paddlemodels.bj.bcebos.com/object_detection/solov2_r50_fpn_3x.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ppyolo/ppyolo_r50vd_dcn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolov2_r50vd_dcn_365e_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/yolov3/yolov3_darknet53_270e_coco.yml,https://paddledet.bj.bcebos.com/models/slim/yolov3_darknet_prune_fpgm.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_r50_vd_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_r50_vd_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mot/jde/jde_darknet53_30e_864x480.yml,https://paddledet.bj.bcebos.com/models/mot/jde_darknet53_30e_864x480.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/fcos/fcos_r50_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/fcos_r50_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/ssd/ssdlite_ghostnet.yml,https://paddlemodels.bj.bcebos.com/object_detection/mobile_models/ssdlite_ghostnet.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_r101_vd_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_r101_vd_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/gn/faster_rcnn_r50_fpn_gn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_r50_fpn_gn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/blob/release/2.1/configs/res2net/mask_rcnn_res2net50_vb_26w_4s_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_res2net50_vb_26w_4s_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/hrnet/faster_rcnn_hrnetv2p_w18_2x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_hrnetv2p_w18_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_r50_vd_fpn_ssld_2x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_r50_vd_fpn_ssld_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/yolov4/yolov4_cspdarknet_voc.yml,https://paddlemodels.bj.bcebos.com/object_detection/yolov4_cspdarknet_voc.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ppyolo/ppyolo_r50vd_dcn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/slim/ppyolo_r50vd_qat_pact.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/anchor_free/fcos_r50_fpn_1x.yml,https://paddlemodels.bj.bcebos.com/object_detection/fcos_r50_fpn_1x.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/faster_rcnn/faster_rcnn_r34_vd_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_r34_vd_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_r50_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/slim/mask_rcnn_r50_fpn_1x_qat.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/rcnn_enhance/generic/cascade_rcnn_dcn_r101_vd_fpn_gen_server_side.yml,https://paddlemodels.bj.bcebos.com/object_detection/cascade_rcnn_dcn_r101_vd_fpn_gen_server_side.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ttfnet/ttfnet_darknet53_1x_coco.yml,https://paddledet.bj.bcebos.com/models/ttfnet_darknet53_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/faster_rcnn/faster_rcnn_r101_vd_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_r101_vd_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ssd/ssd_vgg16_300_240e_voc.yml,https://paddledet.bj.bcebos.com/models/ssd_vgg16_300_240e_voc.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/face_detection/blazeface_keypoint.yml,https://paddlemodels.bj.bcebos.com/object_detection/blazeface_keypoint.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/acfpn/faster_rcnn_r50_vd_acfpn_1x.yml,https://paddlemodels.bj.bcebos.com/object_detection/faster_rcnn_r50_vd_acfpn_1x.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/faster_rcnn/faster_rcnn_r50_vd_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_r50_vd_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/rcnn_enhance/generic/cascade_rcnn_dcn_r50_vd_fpn_gen_server_side.yml,https://paddlemodels.bj.bcebos.com/object_detection/cascade_rcnn_dcn_r50_vd_fpn_gen_server_side.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/dcn/faster_rcnn_dcn_x101_vd_64x4d_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_dcn_x101_vd_64x4d_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ssd/ssd_mobilenet_v1_300_120e_voc.yml,https://paddledet.bj.bcebos.com/models/slim/ssd_mobilenet_v1_300_voc_qat.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/develop/static/configs/ppyolo/ppyolo_mobilenet_v3_large.yml,https://paddlemodels.bj.bcebos.com/object_detection/ppyolo_mobilenet_v3_large.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ppyolo/ppyolo_tiny_650e_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_tiny_650e_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/solov2/solov2_light_r50_vd_fpn_dcn_512_3x.yml,https://paddlemodels.bj.bcebos.com/object_detection/solov2_light_r50_vd_fpn_dcn_512_3x.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/faster_rcnn/faster_rcnn_r50_vd_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_r50_vd_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/dcn/faster_rcnn_dcn_r50_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_dcn_r50_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/dcn/mask_rcnn_dcn_r101_vd_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_dcn_r101_vd_fpn_1x_coco.pdparams
